month,geoid,tract,type
2018-10-01,36067000200,02,Burglary
2018-10-01,36067001702,17.02,Burglary
2018-10-01,36067004302,43.02,Burglary
2018-10-01,36067001900,19,Burglary
2018-10-01,36067003000,30,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067002400,24,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067002901,29.01,Robbery
2018-10-01,36067000600,06,Robbery
2018-10-01,36067003200,32,Vehicle theft
2018-10-01,36067000100,01,Vehicle theft
2018-10-01,36067005900,59,Vehicle theft
2018-10-01,36067005200,52,Aggravated assault
2018-10-01,36067003400,34,Burglary
2018-10-01,36067003400,34,Burglary
2018-10-01,36067001500,15,Burglary
2018-10-01,36067003800,38,Burglary
2018-10-01,36067000501,05.01,Burglary
2018-10-01,36067001900,19,Larceny
2018-10-01,36067000200,02,Larceny
2018-10-01,36067006102,61.02,Larceny
2018-10-01,36067004200,42,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067001600,16,Larceny
2018-10-01,36067005500,55,Vehicle theft
2018-10-01,36067004200,42,Aggravated assault
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067006000,60,Larceny
2018-10-01,36067002101,21.01,Larceny
2018-10-01,36067000900,09,Larceny
2018-10-01,36067006101,61.01,Larceny
2018-10-01,36067003601,36.01,Larceny
2018-10-01,36067000700,07,Larceny
2018-10-01,36067001000,10,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067004302,43.02,Larceny
2018-10-01,36067001701,17.01,Larceny
2018-10-01,36067001400,14,Robbery
2018-10-01,36067002000,20,Vehicle theft
2018-10-01,36067000600,06,Aggravated assault
2018-10-01,36067000800,08,Aggravated assault
2018-10-01,36067002300,23,Larceny
2018-10-01,36067006000,60,Larceny
2018-10-01,36067005800,58,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001800,18,Larceny
2018-10-01,36067004400,44,Larceny
2018-10-01,36067000400,04,Larceny
2018-10-01,36067000100,01,Larceny
2018-10-01,36067001900,19,Robbery
2018-10-01,36067004600,46,Vehicle theft
2018-10-01,36067000900,09,Vehicle theft
2018-10-01,36067004200,42,Aggravated assault
2018-10-01,36067001500,15,Aggravated assault
2018-10-01,36067002300,23,Aggravated assault
2018-10-01,36067005400,54,Aggravated assault
2018-10-01,36067005200,52,Burglary
2018-10-01,36067001500,15,Larceny
2018-10-01,36067001800,18,Larceny
